motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
ARNT::HIF1A	0.4119139807934169	5.467387867983796	0.4819139807934169	0.001735365070823	5.0	198552
Ahr::Arnt	0.4192135598877078	0.7341487754111992	0.4392135598877079	0.0231083476004392	5.0	198552
Alx4	0.1722128490093579	17.286228289020876	0.2322128490093579	0.1065659777190252	12.0	198552
Ar	0.2201971670993194	8.064216135145177	0.2501971670993194	0.1129823373565095	16.0	198552
Arid5a	0.1582947704780302	28.56949262528718	0.3282947704780302	0.0440967660536894	8.0	198552
Arnt	0.3499793845309295	0.5367234767029819	0.3699793845309295	0.0308794801934968	6.0	198552
Arntl	0.3031282579905116	4.144270869916894	0.3431282579905116	0.0023797529392428	8.0	198552
Arx	0.1540449974341704	26.996844062169263	0.2640449974341704	0.0643046603725747	10.0	198552
Ascl2	0.2893560156883274	5.362458508993543	0.3293560156883274	0.0003698479864134	10.0	198552
Atf1	0.3510889414843268	0.6601704868311937	0.3710889414843268	0.0656846192763938	8.0	198552
Atf3	0.2196967302446841	7.740889381199036	0.2596967302446841	0.006878981506406	10.0	198552
Atoh1	0.3678865079973979	0.2932115543575925	0.377886507997398	0.0021150117160751	7.0	198552
Bach1::Mafk	0.2867560217947367	2.873113771035189	0.3167560217947367	0.0610804204547898	12.0	198552
Barhl1	0.1869421324824145	28.476735693987752	0.3369421324824145	0.0333423213319693	10.0	198552
Bcl11B	0.3501268823792897	1.1824213262973238	0.3701268823792897	0.0042837829373595	9.0	198552
Bcl6	0.2299687784411771	13.044288227662404	0.2899687784411771	0.0196108865778772	12.0	198552
Bhlha15	0.2867079794900055	5.025080921224448	0.3267079794900055	0.01242562707437	8.0	198552
Bhlhe40	0.2934539688124044	2.9941732469402385	0.3234539688124044	0.0200730923455569	11.0	198552
CEBPA	0.2914335305844514	5.143666848401269	0.3314335305844514	0.007142400236889	10.0	198552
CREB1	0.3356764161441231	0.9930859873679554	0.3556764161441231	0.0106603265418026	8.0	198552
Cebpa	0.2649626868915942	14.561779527614595	0.3449626868915942	0.0179278346980938	12.0	198552
Creb3l2	0.2930793703140953	2.274383490298522	0.3230793703140953	0.0609346011706767	9.0	198552
Creb5	0.2549630232552073	3.425756450806912	0.2849630232552074	0.074953984059809	10.0	198552
Crem	0.3294682421223964	3.034963014190943	0.3594682421223965	0.0014251440156674	9.0	198552
Crx	0.396467505017663	0.4570157135245444	0.416467505017663	0.0393020783888251	6.0	198552
Dlx1	0.1723457816367546	29.04753619030685	0.3323457816367546	0.0005840917668179	10.0	198552
Dlx2	0.2977631392759793	6.959072927119911	0.3477631392759793	0.0018188443015304	8.0	198552
Dlx3	0.2155430201230493	25.9717110940862	0.3955430201230493	0.046359693502182	6.0	198552
Dlx4	0.2111524935483526	29.154339567637475	0.4011524935483526	0.0425589230570101	6.0	198552
Dlx5	0.2925616846767953	8.664693918106462	0.3525616846767953	0.0253165245527635	8.0	198552
Dmbx1	0.3289710265313875	2.9000787682586453	0.3589710265313874	0.0162024172240848	10.0	198552
Dmrt1	0.3115600762296566	7.183876526675176	0.3615600762296566	0.0189406605174547	9.0	198552
Dux	0.2147452738578522	17.27410962005372	0.2847452738578523	0.0081843152769612	11.0	198552
E2F3	0.2045530443069794	7.687136426279753	0.2345530443069794	0.0362075110679146	14.0	198552
EBF1	0.1983216114429515	8.299876363522701	0.2383216114429515	0.1091588273424501	11.0	198552
ELF5	0.3569210143053013	1.734451612238738	0.3869210143053013	0.0322828711271268	10.0	198552
ESR1	0.2069465706579314	6.5432236999143125	0.2369465706579314	0.0384422853535937	15.0	198552
Ebf2	0.2477328745688223	6.385694520136709	0.2877328745688223	0.0052297706716989	9.0	198552
Ebf4	0.2135555059412902	5.016429241976707	0.2435555059412902	0.0996170210788387	11.0	198552
Egr1	0.2678942671212304	4.134085616818749	0.2978942671212303	0.0007329642041799	11.0	198552
Egr2	0.2594613521683943	6.622102083864733	0.2994613521683943	0.0265175780158155	15.0	198552
Elf5	0.3562618950573663	1.436644582975729	0.3762618950573663	0.0591587489577154	8.0	198552
En1	0.2837418882555971	16.534721750519246	0.373741888255597	0.0602631236323323	11.0	198552
Erg	0.3470636607250216	0.8962192478089852	0.3670636607250216	0.0211275370925968	10.0	198552
Esrra	0.3096102989722983	0.4730288737273747	0.3196102989722983	0.0024877843792032	11.0	198552
Esrrb	0.3198179372563651	0.6781840348681064	0.3298179372563651	0.0436876595649227	10.0	198552
Esrrg	0.3501475582311696	0.4736145814514635	0.3601475582311697	0.0221671481625441	9.0	198552
Ets1	0.3261855531095329	1.5350735206090351	0.3461855531095329	0.0052138603624378	12.0	198552
FOS::JUN	0.2754041418453847	2.444265459101337	0.2954041418453847	0.0893309846576165	10.0	198552
FOXO3	0.3318954285774833	4.343074303561755	0.3718954285774833	0.0157373777450636	8.0	198552
Fos::Jun	0.3596258727058322	1.1734344690863947	0.3796258727058322	0.0140577974745641	8.0	198552
Foxa2	0.2808770830254828	9.899107503174733	0.3408770830254828	0.000540427745836	11.0	198552
Foxf1	0.3143214356230001	11.468864962882774	0.3943214356230001	0.0146775336475491	7.0	198552
Foxj2	0.3047227235532644	9.46590441803646	0.3747227235532644	0.0405980883857467	8.0	198552
Foxj3	0.2708862687426426	15.737244359870948	0.3608862687426426	0.045297093758909	9.0	198552
Foxk1	0.2344095550897429	20.35988129293051	0.3344095550897429	9.559891761502066e-05	13.0	198552
Foxl2	0.2673516978487298	15.642474389532063	0.3473516978487298	0.0185559522003409	10.0	198552
Foxn1	0.3781370444284156	0.8584408994196303	0.3981370444284156	0.0176328656046553	6.0	198552
Foxo1	0.3608284003838674	3.4310871851341105	0.4008284003838673	0.003869614197035	7.0	198552
Foxo3	0.3323862139092652	7.486013770126229	0.4023862139092652	0.0499515138473146	7.0	198552
Gabpa	0.3198532542871024	2.394951705339738	0.3498532542871024	0.0094344312782527	10.0	198552
Gata1	0.3042836149676574	7.954321783715769	0.3542836149676573	0.0285617012023318	11.0	198552
Gata1::Tal1	0.2930040460130242	5.963169456005165	0.3330040460130242	0.0271691205947985	18.0	198552
Gata3	0.3541445236283862	2.5435717725654428	0.3841445236283862	0.0242150408838847	8.0	198552
Gata4	0.3279943828073158	2.359446190429027	0.3579943828073157	0.0011826229321541	10.0	198552
Gfi1B	0.3432313605564026	1.3993299347772017	0.3632313605564026	0.0102653640456904	10.0	198552
Gli1	0.2927697473954347	4.561042721774432	0.3327697473954347	0.0512518886936685	10.0	198552
Gli2	0.2798320757513857	8.735734433457575	0.3398320757513857	0.0738608917445776	9.0	198552
Gmeb1	0.2403197064920747	8.55471843310564	0.2903197064920748	0.0022564033095477	6.0	198552
HNF1B	0.1826476237920504	19.040856632370215	0.2426476237920504	0.1661718885450953	13.0	198552
HOXA5	0.2958430185438196	4.630729683001238	0.3358430185438196	0.0147412319189628	8.0	198552
Hand1	0.3375949749024294	2.6672236480381533	0.3675949749024294	0.017517401663687	9.0	198552
Hand1::Tcf3	0.3638073610888216	1.4577916189674958	0.3838073610888217	0.0456848020650217	9.0	198552
Hes1	0.2756633641985368	4.743861273297867	0.3156633641985368	0.0004530131753745	7.0	198552
Hes2	0.3120948589765414	5.586120590213547	0.3620948589765414	0.0340306825733786	9.0	198552
Hic1	0.3508261686423586	4.569440266406401	0.4008261686423586	5.513954747926631e-07	8.0	198552
Hmx1	0.2658595632901206	9.784260224358547	0.3258595632901206	0.0362827483912773	9.0	198552
Hmx2	0.2420436080990393	10.682683467017462	0.2920436080990393	0.0141109773838731	15.0	198552
Hmx3	0.262334299347472	9.725391206357854	0.322334299347472	0.0214278427320465	9.0	198552
Hnf1A	0.3226042272567749	3.109595155935674	0.3526042272567748	0.0109603587018161	10.0	198552
Hnf4a	0.2405082752257657	3.0139176257589675	0.2605082752257657	0.0074934262182927	16.0	198552
Hoxa11	0.2898852724471852	5.45501490216631	0.3298852724471852	0.028751106472641	9.0	198552
Hoxa13	0.2708105812237616	15.78732962471194	0.3608105812237616	0.0193716544755847	8.0	198552
Hoxa9	0.2512726827506332	16.40622902765814	0.3412726827506332	0.0683363613459539	11.0	198552
Hoxb5	0.196894986636285	22.31914308018858	0.276894986636285	0.0346809171970046	16.0	198552
Hoxc9	0.1974832678544322	25.854730979021717	0.3174832678544322	0.0082945435445316	12.0	198552
Hoxd13	0.3169123378749005	10.259276424634256	0.3969123378749005	0.008417263781131	7.0	198552
Hoxd3	0.2031333309123356	20.30617076617484	0.2831333309123356	0.0717822654892021	16.0	198552
Hoxd8	0.119621274974894	31.27964821837392	0.249621274974894	0.1065486565042675	16.0	198552
Hoxd9	0.2853159958434925	12.65306151449871	0.3653159958434925	0.0025453302106977	10.0	198552
Ikzf3	0.3503716002045052	1.0588366381499432	0.3703716002045052	2.376426897946103e-05	9.0	198552
Irf1	0.2814138574530577	4.603458496550396	0.3214138574530576	0.0774504923126535	11.0	198552
Isl1	0.3222461082256869	4.586295990300654	0.3722461082256869	0.043451457977276	7.0	198552
Jun	0.3189660062513035	2.1619570947431628	0.3489660062513035	0.0204169662832118	8.0	198552
Klf1	0.2958477242143089	5.694382278313686	0.3358477242143089	0.0321809456044865	10.0	198552
Klf12	0.2414523726974239	6.164060316611187	0.2814523726974239	0.1431903129531894	14.0	198552
Klf4	0.2497157239708916	12.57628980972365	0.3097157239708916	0.054935961226053	10.0	198552
